timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666976121637,425,Get Users,200,OK,endurance 1-18,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,425,0,323
1666976122063,128,Delete Users,200,OK,endurance 1-18,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,128,0,0
1666976122192,100,Get User by ID,200,OK,endurance 1-18,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,99,0,0
1666976123620,419,Get Users,200,OK,endurance 1-19,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,419,0,313
1666976124039,114,Delete Users,200,OK,endurance 1-19,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,114,0,0
1666976124154,102,Get User by ID,200,OK,endurance 1-19,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,102,0,0
1666976125622,430,Get Users,200,OK,endurance 1-20,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,430,0,328
1666976126052,100,Delete Users,200,OK,endurance 1-20,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,100,0,0
1666976126152,106,Get User by ID,200,OK,endurance 1-20,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,106,0,0
1666976127622,430,Get Users,200,OK,endurance 1-21,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,430,0,309
1666976128053,103,Delete Users,200,OK,endurance 1-21,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,103,0,0
1666976128156,100,Get User by ID,200,OK,endurance 1-21,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,100,0,0
1666976129618,456,Get Users,200,OK,endurance 1-22,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,456,0,357
1666976130074,100,Delete Users,200,OK,endurance 1-22,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,100,0,0
1666976130175,104,Get User by ID,200,OK,endurance 1-22,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,104,0,0
1666976131622,425,Get Users,200,OK,endurance 1-23,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,425,0,323
1666976132048,102,Delete Users,200,OK,endurance 1-23,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,102,0,0
1666976132151,99,Get User by ID,200,OK,endurance 1-23,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,99,0,0
1666976133624,437,Get Users,200,OK,endurance 1-24,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,437,0,333
1666976134062,105,Delete Users,200,OK,endurance 1-24,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,104,0,0
1666976134167,115,Get User by ID,200,OK,endurance 1-24,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,115,0,0
1666976135622,459,Get Users,200,OK,endurance 1-25,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,459,0,357
1666976136082,105,Delete Users,200,OK,endurance 1-25,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,105,0,0
1666976136188,102,Get User by ID,200,OK,endurance 1-25,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,102,0,0
1666976137622,492,Get Users,200,OK,endurance 1-26,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,492,0,361
1666976138115,100,Delete Users,200,OK,endurance 1-26,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,100,0,0
1666976138215,114,Get User by ID,200,OK,endurance 1-26,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,113,0,0
1666976139625,435,Get Users,200,OK,endurance 1-27,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,435,0,333
1666976140061,103,Delete Users,200,OK,endurance 1-27,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,103,0,0
1666976140164,141,Get User by ID,200,OK,endurance 1-27,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,141,0,0
1666976141626,482,Get Users,200,OK,endurance 1-28,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,482,0,365
1666976142109,109,Delete Users,200,OK,endurance 1-28,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,109,0,0
1666976142218,103,Get User by ID,200,OK,endurance 1-28,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,103,0,0
1666976143627,437,Get Users,200,OK,endurance 1-29,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,437,0,334
1666976144064,106,Delete Users,200,OK,endurance 1-29,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,106,0,0
1666976144171,130,Get User by ID,200,OK,endurance 1-29,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,130,0,0
1666976145626,462,Get Users,200,OK,endurance 1-30,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,462,0,345
1666976146089,101,Delete Users,200,OK,endurance 1-30,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,101,0,0
1666976146191,106,Get User by ID,200,OK,endurance 1-30,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,105,0,0
